Client,Upload_Time,File_name,Size (Mb),Time_consumed
aideobarie_xavier_nx_2,29-10-2021 11:47:26,28-10-2021_13:36:17_183.mp4,24.35,117.56
aideobarie_xavier_nx_2,01-11-2021 18:24:19,30-10-2021_12:40:49_183.mp4,5.91,78.62
